naturalis_id,species_id
RMNH.COEL.P.7782,7659
ZMA.COEL.2729,7659
RGM.934334,28475
RMNH.MOL.22874,28475
RMNH.MOL.22879,28475
RMNH.MOL.22888,28475
ZMA.MOLL.15658,28475
RGM.934897,4084
RMNH.MOL.82627,4084
RMNH.MOL.82633,4084
RMNH.MOL.82636,4084
RMNH.MOL.97930,4084
ZMA.MOLL.125578,4084
RGM.935548,373
RGM.935556,373
RMNH.MOL.83627,373
RMNH.MOL.83628,373
ZMA.MOLL.116979,373
ZMA.MOLL.117009,373
ZMA.MOLL.117031,373
ZMA.MOLL.117041,373
ZMA.MOLL.117044,373
ZMA.MOLL.131883,373
RGM.936422,7554
RMNH.MOL.86846,7554
RGM.939280,15300
RMNH.MOL.22899,15300
RMNH.MOL.22933,15300
RMNH.MOL.AD.17598,15300
RMNH.MOL.AD.23528,15300
ZMA.MOLL.6962,15300
ZMA.MOLL.7119,15300
RGM.967116,20103
RGM.967126,10082
RGM.967127,27218
RMNH.INS.708660,27218
RMNH.INS.708680,27218
RMNH.INS.708683,27218
RMNH.INS.708686,27218
RMNH.INS.708716,27218
RMNH.INS.708734,27218
RMNH.INS.708751,27218
RMNH.INS.708752,27218
RMNH.INS.708760,27218
RGM.967130,13352
RMNH.INS.717011,13352
RMNH.INS.717045,13352
RMNH.INS.717085,13352
RGM.967159,19723
RMNH.INS.705576,19723
RMNH.INS.705578,19723
RMNH.INS.705592,19723
RMNH.INS.705599,19723
RMNH.INS.706086,19723
RMNH.INS.706089,19723
RMNH.INS.706097,19723
RMNH.INS.706102,19723
RMNH.INS.706110,19723
RGM.967222,20106
RGM.96754,22324
RMNH.MAM.25527,22324
RMNH.MAM.26326,22324
RMNH.MAM.29139,22324
RMNH.MAM.33180,22324
RMNH.MAM.33181,22324
RMNH.MAM.36089,22324
RMNH.MAM.52503,22324
RMNH.5000124,17011
RMNH.AVES.180835,17011
RMNH.AVES.231712,17011
RMNH.AVES.231713,17011
RMNH.AVES.231714,17011
RMNH.AVES.231715,17011
RMNH.AVES.251494,17011
RMNH.AVES.8626,17011
ZMA.AVES.24513,17011
ZMA.AVES.41617,17011
RMNH.5000131.a,19310
RMNH.5000131.b,19310
RMNH.MAM.60755,19310
RMNH.MAM.60766,19310
RMNH.MAM.60781,19310
RMNH.MAM.62351,19310
RMNH.MAM.63173,19310
RMNH.MAM.63177,19310
RMNH.MAM.63185,19310
RMNH.MAM.63191,19310
RMNH.5000135.a,18216
RMNH.5000135.b,18216
RMNH.MAM.20461.b,18216
RMNH.MAM.3699.b,18216
RMNH.MAM.38791,18216
RMNH.MAM.53071,18216
RMNH.5000159.b,18098
RMNH.5069671.b,18098
ZMA.MAM.27546,18098
RMNH.5000176.d,3132
RMNH.5000178.b,7023
